
TEST CASES
case	States	Accounts	Customers	pairings
1	CA	checkings	consumers	3
2	CA	savings 	VICs     	3
3	CA	mortgages	business	3
4	CA	consumerLoans	non-profits	3
5	NV	checkings	VICs     	3
6	NV	savings 	consumers	3
7	NV	mortgages	non-profits	3
8	NV	consumerLoans	business	3
9	UT	checkings	business	3
10	UT	savings 	non-profits	3
11	UT	mortgages	consumers	3
12	UT	consumerLoans	VICs     	3
13	ID	checkings	non-profits	3
14	ID	savings 	business	3
15	ID	mortgages	VICs     	3
16	ID	consumerLoans	consumers	3
17	AZ	commercialLoans	consumers	3
18	AZ	checkings	VICs     	2
19	AZ	savings 	business	2
20	AZ	mortgages	non-profits	2
21	NM	commercialLoans	VICs     	3
22	NM	checkings	consumers	2
23	NM	savings 	non-profits	2
24	NM	mortgages	business	2
25	CA	commercialLoans	business	2
26	NV	commercialLoans	non-profits	2
27	UT	commercialLoans	~consumers	1
28	ID	commercialLoans	~VICs     	1
29	AZ	consumerLoans	~consumers	1
30	NM	consumerLoans	~VICs     	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
States	Accounts	CA	checkings	1	1
States	Accounts	CA	savings 	1	2
States	Accounts	CA	mortgages	1	3
States	Accounts	CA	consumerLoans	1	4
States	Accounts	CA	commercialLoans	1	25
States	Accounts	NV	checkings	1	5
States	Accounts	NV	savings 	1	6
States	Accounts	NV	mortgages	1	7
States	Accounts	NV	consumerLoans	1	8
States	Accounts	NV	commercialLoans	1	26
States	Accounts	UT	checkings	1	9
States	Accounts	UT	savings 	1	10
States	Accounts	UT	mortgages	1	11
States	Accounts	UT	consumerLoans	1	12
States	Accounts	UT	commercialLoans	1	27
States	Accounts	ID	checkings	1	13
States	Accounts	ID	savings 	1	14
States	Accounts	ID	mortgages	1	15
States	Accounts	ID	consumerLoans	1	16
States	Accounts	ID	commercialLoans	1	28
States	Accounts	AZ	checkings	1	18
States	Accounts	AZ	savings 	1	19
States	Accounts	AZ	mortgages	1	20
States	Accounts	AZ	consumerLoans	1	29
States	Accounts	AZ	commercialLoans	1	17
States	Accounts	NM	checkings	1	22
States	Accounts	NM	savings 	1	23
States	Accounts	NM	mortgages	1	24
States	Accounts	NM	consumerLoans	1	30
States	Accounts	NM	commercialLoans	1	21
States	Customers	CA	consumers	1	1
States	Customers	CA	VICs     	1	2
States	Customers	CA	business	2	3, 25
States	Customers	CA	non-profits	1	4
States	Customers	NV	consumers	1	6
States	Customers	NV	VICs     	1	5
States	Customers	NV	business	1	8
States	Customers	NV	non-profits	2	7, 26
States	Customers	UT	consumers	2	11, 27
States	Customers	UT	VICs     	1	12
States	Customers	UT	business	1	9
States	Customers	UT	non-profits	1	10
States	Customers	ID	consumers	1	16
States	Customers	ID	VICs     	2	15, 28
States	Customers	ID	business	1	14
States	Customers	ID	non-profits	1	13
States	Customers	AZ	consumers	2	17, 29
States	Customers	AZ	VICs     	1	18
States	Customers	AZ	business	1	19
States	Customers	AZ	non-profits	1	20
States	Customers	NM	consumers	1	22
States	Customers	NM	VICs     	2	21, 30
States	Customers	NM	business	1	24
States	Customers	NM	non-profits	1	23
Accounts	Customers	checkings	consumers	2	1, 22
Accounts	Customers	checkings	VICs     	2	5, 18
Accounts	Customers	checkings	business	1	9
Accounts	Customers	checkings	non-profits	1	13
Accounts	Customers	savings 	consumers	1	6
Accounts	Customers	savings 	VICs     	1	2
Accounts	Customers	savings 	business	2	14, 19
Accounts	Customers	savings 	non-profits	2	10, 23
Accounts	Customers	mortgages	consumers	1	11
Accounts	Customers	mortgages	VICs     	1	15
Accounts	Customers	mortgages	business	2	3, 24
Accounts	Customers	mortgages	non-profits	2	7, 20
Accounts	Customers	consumerLoans	consumers	2	16, 29
Accounts	Customers	consumerLoans	VICs     	2	12, 30
Accounts	Customers	consumerLoans	business	1	8
Accounts	Customers	consumerLoans	non-profits	1	4
Accounts	Customers	commercialLoans	consumers	2	17, 27
Accounts	Customers	commercialLoans	VICs     	2	21, 28
Accounts	Customers	commercialLoans	business	1	25
Accounts	Customers	commercialLoans	non-profits	1	26
